Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Revenue,Location,About Company,Investors
TheCollegeFever,2018,2017.0,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,644387.9133943800,"Bengaluru, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Unknown
Happy Cow Dairy,2018,2017.0,"Agriculture, Farming",Seed,470588.24,2185141.040110250,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,Unknown
MyLoanCare,2018,2017.0,"Credit, Financial Services, Lending, Marketplace",Series A,764705.88,1547895.5343354400,"Gurgaon, Haryana, India",Leading Online Loans Marketplace in India,Unknown
PayMe India,2018,2017.0,"Financial Services, FinTech",Angel,23529.41,74336.7863433952,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,Unknown
Hasura,2018,2017.0,"Cloud Infrastructure, PaaS, SaaS",Seed,18823.53,52779.689395323200,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Unknown
Tripshelf,2018,2017.0,"Internet, Leisure, Marketplace",Seed,188235.29,788511.4403394010,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,Unknown
Hyperdata.IO,2018,2017.0,Market Research,Angel,588235.29,1284011.4649912000,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,Unknown
Freightwalla,2018,2017.0,"Information Services, Information Technology",Seed,323398839173535.44,553386633291270.3,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Unknown
Microchip Payments,2018,2017.0,Mobile Payments,Seed,323398839173535.44,937559862383995.4,"Bengaluru, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,Unknown
BizCrum Infotech Pvt. Ltd.,2018,2017.0,"B2B, Shoes",Seed,323398839173535.44,643080794115586.5,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces,Unknown
Emojifi,2018,2017.0,Internet,Seed,323398839173535.44,1545045848049912.0,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Unknown
Flock,2018,2017.0,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,323398839173535.44,1112939611038066.1,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Unknown
Freshboxx,2018,2017.0,Food Delivery,Seed,323398839173535.44,909025555984882.6,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Unknown
Wide Mobility Mechatronics,2018,2017.0,Industrial Automation,Seed,323398839173535.44,1299368458969363.0,"Bengaluru, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,Unknown
Pitstop,2018,2017.0,"Automotive, Search Engine, Service Industry",Seed,1176470.59,1863563.9235120900,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Unknown
Mihuru,2018,2017.0,"Finance, Internet, Travel",Seed,1764.71,7016.975868210590,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,Unknown
Fyle,2018,2017.0,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,12941.18,48166.87263675270,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,Unknown
AppWharf,2018,2017.0,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,12941.18,46147.84068362870,"New Delhi, Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Unknown
Antariksh Waste Ventures Pvt ltd,2018,2017.0,"Internet of Things, Waste Management",Seed,5882.35,14198.86906110170,"Chennai, Tamil Nadu, India",Waste Management for Smart Cities,Unknown
PaisaDukan,2018,2017.0,Financial Services,Seed,7647.06,34398.63246974210,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,Unknown
Sleepy Owl Coffee,2018,2017.0,Food and Beverage,Seed,411764.71,1678250.5013633300,"New Delhi, Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",Unknown
BlueJack,2018,2017.0,Autonomous Vehicles,Seed,752941.18,3493702.9817927000,"Delhi, Delhi, India",Delhi-based online used vehicles marketplace.,Unknown
PregBuddy,2018,2017.0,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,323398839173535.44,1440212413717870.8,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,Unknown
AgNext Technologies,2018,2017.0,"Agriculture, Analytics, Big Data, Farming",Series A,323398839173535.44,1080701658439256.5,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Unknown
Mintifi,2018,2017.0,"Financial Services, Lending",Seed,23529.41,98744.24130524350,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,Unknown
Carcrew,2018,2017.0,"Automotive, Marketplace, Online Portals",Seed,23529.41,44044.84533749300,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,Unknown
NicheAI,2018,2017.0,Artificial Intelligence,Angel,235294.12,1145409.4548654000,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,Unknown
Chariot Tech,2018,2017.0,"Internet of Things, Telecommunications",Seed,235294.12,746105.0144991770,"New Delhi, Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,Unknown
Ideal Insurance Brokers/ 121Policy.com,2018,2017.0,Insurance,Seed,1000000.0,4756134.3468162000,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,Unknown
Loanzen,2018,2017.0,Financial Services,Seed,323398839173535.44,1341545315689898.2,"Bengaluru, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Unknown
Mojro Technologies,2018,2017.0,"Information Technology, Logistics, Supply Chain Management",Seed,7647.06,25525.73147282550,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,Unknown
Elemential,2018,2017.0,"Blockchain, Developer Tools, Enterprise Software",Seed,11764.71,38879.383959989100,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",Unknown
Yumlane,2018,2017.0,"Food and Beverage, Food Delivery, Snack Food",Series A,47058.82,133105.9364172940,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,Unknown
Kriger Campus,2018,2017.0,Education,Seed,352941.18,1032856.9497514500,"New Delhi, Delhi, India",A Education Start Up.,Unknown
Kaleidofin,2018,2017.0,Financial Services,Seed,32941.18,72272.01270773140,"Chennai, Tamil Nadu, India",A fintech platform.,Unknown
Chakr Innovation,2018,2017.0,Renewable Energy,Seed,323398839173535.44,1129215331869371.8,"New Delhi, Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.,Unknown
IndigoLearn,2018,2017.0,"E-Learning, Education",Seed,1764.71,6480.601863786980,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,Unknown
UClean,2018,2017.0,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,470588.24,1087652.1145361200,"India, Asia",UClean is a tech enabled laundry service provider.,Unknown
Coutloot,2018,2017.0,"E-Commerce, Fashion, Mobile",Seed,11764.71,22046.63636375200,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,Unknown
Letstrack,2018,2017.0,"Apps, Messaging, Navigation, Public Safety",Seed,20000.0,68134.52127648890,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",Unknown
Pooltoo,2018,2017.0,Transportation,Seed,323398839173535.44,822006821260556.9,"New Delhi, Delhi, India",Pooltoo offers a premium ride sharing platform.,Unknown
Finzy,2018,2017.0,"Financial Services, Lending",Seed,15294.12,53259.774127067000,"Bengaluru, Karnataka, India",finzy is the premier peer to peer lending solution in India.,Unknown
Fitternity,2018,2017.0,"Fitness, Health Care, Wellness",Seed,23529.41,112272.201404382,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,Unknown
Keito,2018,2017.0,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,323398839173535.44,1511431848671923.0,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,Unknown
Tolet for Students,2018,2017.0,Hospitality,Seed,58823.53,168415.9548535320,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",Unknown
Chai Kings,2018,2017.0,"Food and Beverage, Tea",Seed,235294.12,450211.5899541890,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,Unknown
ONGO Framework,2018,2017.0,"B2B, Information Services, Information Technology",Angel,11764.71,34724.94330112520,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,Unknown
Notesgen,2018,2017.0,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,147058.82,667469.556649415,"New Delhi, Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,Unknown
Arogya MedTech,2018,2017.0,"Health Care, Medical",Seed,176470.59,588481.7304934930,"Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,Unknown
Propshop24,2018,2017.0,E-Commerce,Seed,5882.35,19603.618291645400,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",Unknown
myUpchar,2018,2017.0,"Health Care, Hospital, Wellness",Series A,58823.53,175745.40283524300,"New Delhi, Delhi, India",To bring health issues to people in their language.,Unknown
MissMalini Entertainment,2018,2017.0,—,Seed,1223529.41,5344894.806877460,"Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",Unknown
Rooter,2018,2017.0,Sports,Seed,529411.76,824715.0351060770,"India, Asia",Rooter is a mobile-based platform,Unknown
ZestMoney,2018,2017.0,"Big Data, Consumer Lending, FinTech",Series A,157647.06,672046.8502318540,"Bengaluru, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,Unknown
alphaics Corporation,2018,2017.0,"Cloud Computing, Computer, Semiconductor",Seed,323398839173535.44,616886744457788.2,"Bengaluru, Karnataka, India",Advancing AI compute,Unknown
MyDentistChoice,2018,2017.0,"Health Care, Medical, Pharmaceutical",Seed,5882.35,27530.138925471200,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Unknown
Sensibull,2018,2014.0,Trading Platform,Seed,294117.65,738745.5759562130,"Bengaluru, Karnataka, India",Investment Management Platform,Unknown
Bombay Shaving Company,2018,2017.0,"Consumer Goods, Lifestyle, Men's",Series A,323398839173535.44,1580114544261087.8,"New Delhi, Delhi, India",Bombay Shaving Company is a Men's grooming startup,Unknown
MedCords,2018,2014.0,Wellness,Seed,310588.24,1456262.6480867800,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Unknown
University Living,2018,2017.0,Education,Seed,323398839173535.44,1468262918295465.0,"New Delhi, Delhi, India",University Living is an online global student housing marketplace.,Unknown
&ME,2018,2014.0,"Food and Beverage, Food Processing, Nutrition",Seed,323398839173535.44,1502710034352841.5,"Bengaluru, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Unknown
Enakshi,2018,2004.0,Fashion,Seed,94117.65,402371.68903010500,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,Unknown
Ultraviolette Automotive,2018,2017.0,"Automotive, Electric Vehicle, Energy Storage",Series A,705.88,1202.7905808383400,"Bengaluru, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Unknown
BUGWORKS Research India,2018,2013.0,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,105882.35,391460.39517835300,"Bengaluru, Karnataka, India",BUGWORKS is a drug discovery company.,Unknown
Guardian.in,2018,2017.0,Health Care,Seed,323398839173535.44,1582289850797203.8,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Unknown
PrestLoans,2018,2010.0,"Credit, Financial Services, FinTech, Personal Finance",Seed,1176.47,3845.4925608656100,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",Unknown
Wimoxez,2018,2010.0,Internet,Seed,235.29,450.6155445883500,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",Unknown
